image,caption
animal_0.png,"雪の上のアザラシ"
animal_1.png,"子猫に寄り添う犬"
animal_2.png,"雪の上のキツネ"
animal_3.png,"木の上のコアラ"
animal_4.png,"微笑む猫"
animal_5.png,"頬張るハムスター"
animal_6.png,"子連れの熊"
animal_7.png,"頭の大きな犬"
animal_8.png,"子連れのペンギン"
animal_9.png,"座っている子豚"
animal_10.png,"どこかを見つめる子猫"
animal_11.png,"ペンギンの群れ"
animal_12.png,"お洒落をしている猫"
animal_13.png,"1手の上の子犬"
animal_14.png,"眠っているコアラ"
animal_15.png,"まん丸ほっぺのハムスター"
animal_16.png,"横になるウサギ"
animal_17.png,"籠の中の犬"
animal_18.png,"まん丸頭の子猫"
animal_19.png,"度アップのパンダ"
animal_20.png,"シマウマの群れ"
animal_21.png,"寝そべるパンダ"
animal_22.png,"ドヤ顔の猫"
animal_23.png,"どこかを見つめる猫"
animal_24.png,"どこかを見つめるライオン"
animal_25.png,"ヒヨコの群れ"
animal_26.png,"仲良しのアルパカ"
animal_27.png,"寝そべるアザラシ"
animal_28.png,"居眠り中のレッサーパンダ"
animal_29.png,"元気な白熊"
animal_30.png,"闘うミーアキャット"
animal_31.png,"微笑むコアラ"
animal_32.png,"闘う象"
animal_33.png,"仲良しの犬"
animal_34.png,"まん丸なアザラシ"
animal_35.png,"こっちを見つめるアザラシ"
animal_36.png,"振り向くキツネ"
animal_37.png,"休憩中のライオン"
animal_38.png,"眠そうなライオン"
animal_39.png,"頬張るリス"
animal_40.png,"目を見開いたレッサーパンダ"
animal_41.png,"物欲しそうな子猫"
animal_42.png,"キメ顔の子猫"
animal_43.png,"歩く熊"
animal_44.png,"隅っこにいる小ウサギ"
animal_45.png,"岩の上のパンダ"
animal_46.png,"闘う熊"
animal_47.png,"羊の群れ"
animal_48.png,"会話中のペンギン"
animal_49.png,"森の中のキリン"
